DATE,MONTH,YEAR,DRIVER,GENDER,TYPE,CITY,PRICE,PAYMENT,START TIME,END TIME,HOUR,CAR,MILES,TRIP TIME
6/16/2011,6,2011,Faris,m,-,San Francisco,,,9:57 PM,,21,,,
7/3/2011,7,2011,Cal,m,-,San Francisco,$19.00 ,,1:13 AM,1:26 AM,1,,,
7/10/2011,7,2011,Kader,m,-,San Francisco,,,11:49 PM,,23,,,
7/11/2011,7,2011,Mohammad,m,-,San Francisco,$65.00 ,,5:36 AM,6:08 AM,5,,,
7/18/2011,7,2011,Kamal,m,-,San Francisco,$65.00 ,,12:10 PM,12:41 PM,12,,,
9/25/2011,9,2011,Angel,m,-,San Francisco,$55.00 ,2802,4:35 AM,5:08 AM,4,,,
10/14/2011,10,2011,Mehdi,m,-,San Francisco,$15.00 ,2802,9:43 PM,9:54 PM,21,,,
12/17/2011,12,2011,Lazhar,m,-,San Francisco,$23.00 ,2802,4:37 PM,4:49 PM,16,,,
12/17/2011,12,2011,Chris,m,-,San Francisco,$20.00 ,2802,12:51 PM,1:04 PM,12,,,
1/6/2012,1,2012,Dahmane,m,-,San Francisco,$15.00 ,2802,10:54 PM,11:05 PM,22,,,
1/14/2012,1,2012,Slim,m,-,San Francisco,$15.00 ,2802,4:50 AM,5:01 AM,4,,,
1/31/2012,1,2012,Yousef,m,-,San Francisco,$65.00 ,2802,8:23 AM,8:51 AM,8,,,
2/11/2012,2,2012,Fause,m,-,San Francisco,$65.00 ,2802,5:49 AM,6:16 AM,5,,,
3/2/2012,3,2012,Mehdi,m,-,San Francisco,$65.00 ,2802,2:22 PM,2:57 PM,14,,,
3/13/2012,3,2012,Djaafar,m,-,San Francisco,$15.00 ,2802,5:37 PM,5:42 PM,17,,,
3/16/2012,3,2012,Fause,m,-,San Francisco,$15.00 ,2802,9:44 PM,9:49 PM,21,,,
3/31/2012,3,2012,Ashraf,m,-,San Francisco,$28.00 ,2802,7:52 AM,8:11 AM,7,,,
4/12/2012,4,2012,-,m,-,Los Angeles,,2802,8:29 AM,Dropoff time unknown,8,,,
4/18/2012,4,2012,Kidas,m,-,San Francisco,$32.00 ,2802,10:55 AM,11:14 AM,10,,,
4/29/2012,4,2012,Sam,m,-,San Francisco,$34.00 ,2802,9:40 PM,9:58 PM,21,,,
4/29/2012,4,2012,Ash,m,-,Chicago,$75.00 ,2802,1:38 PM,2:33 PM,13,,,
5/14/2012,5,2012,Tulio,m,-,San Francisco,$65.00 ,2802,8:29 AM,9:15 AM,8,,,
5/16/2012,5,2012,Mike,m,-,Boston,$45.00 ,2802,3:52 PM,4:12 PM,15,,,
5/16/2012,5,2012,Shifa,m,-,Boston,,2802,9:17 AM,,9,,,
5/16/2012,5,2012,Shifa,m,-,Boston,,2802,9:16 AM,,9,,,
5/16/2012,5,2012,Mohamed,m,-,Boston,,2802,9:11 AM,,9,,,
5/25/2012,5,2012,Oliver,m,-,San Francisco,$35.00 ,2802,7:40 PM,8:02 PM,19,,,
6/3/2012,6,2012,Luis,m,-,San Francisco,,2802,7:44 PM,,19,,,
6/25/2012,6,2012,Nino,m,-,San Francisco,$19.00 ,2802,7:07 PM,7:23 PM,19,,,
